id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
662817,Studio Loretánská no.5 / 150m from Prague Castle,3118998,Daniela,,Praha 1,50.08865,14.39481,Entire home/apt,1017,28,292,2025-02-22,2.47,3,134,23,
667478,BOOK NOW 💙HOTEL💙 IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.0704,14.42886,Entire home/apt,,1,173,2020-11-22,1.14,16,365,0,
668858,City Center Heights  No.4 Studio with A/C,2635161,Pavel,,Praha 1,50.09043,14.41918,Entire home/apt,2184,2,61,2025-01-05,0.52,5,137,6,
668880,City Center Heights No.5 1-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,2385,2,68,2024-12-15,0.56,5,209,8,
668902,City Center Heights No.3 2-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,2988,2,105,2024-12-28,0.82,5,204,12,
668908,City Center Heights No.6 2-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,2988,2,66,2025-01-04,0.52,5,205,14,
673821,STUDIO2 APARTMENTS IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07484,14.43101,Entire home/apt,5358,1,208,2024-03-31,1.37,16,351,3,
679022,Apartmán Cometa pro 4,3455951,Casa Italia Prague,,Praha 8,50.09275,14.45136,Entire home/apt,2016,1,161,2025-01-19,1.52,11,331,17,
679276,"Prague Center, 2+1 rooms apartment",3457205,Marek,,Praha 5,50.07798,14.40526,Entire home/apt,2832,2,75,2024-12-01,0.50,1,278,13,
681166,✮✮✮  HOTEL ✮✮✮ 10 MIN CITY CENTER💙,3279605,Elena And Kira,,Praha 2,50.06952,14.43071,Entire home/apt,,1,403,2023-04-23,2.65,16,365,0,
690105,The BEST place in Prague - Old Town,1199726,Monika,,Praha 1,50.08944,14.41913,Entire home/apt,3316,1,761,2025-03-07,5.01,2,313,67,
691240,"Central apartment suite, city centr",3533590,Andy,,Praha 2,50.07693,14.43056,Entire home/apt,1668,3,313,2025-03-01,2.06,7,192,41,
691380,"Sunny Prague Terrace Apartment,",3533590,Andy,,Praha 9,50.10753,14.48969,Entire home/apt,1600,3,146,2025-01-22,1.06,7,320,38,
692045,"Modern flat, 75m2, ideal for 2 (+1)",3537968,Petr,,Praha 5,50.07931,14.38053,Entire home/apt,1966,5,28,2025-01-01,0.18,1,27,5,
696261,The house and the Old Town Square,3327137,Pavel,,Praha 1,50.08818,14.42567,Entire home/apt,11689,7,144,2020-06-22,0.96,1,358,0,
696837,"Old town PopArt apt, AC, hot-tub, balcony & views!",3568804,Magnus,,Praha 1,50.08246,14.41346,Entire home/apt,1929,3,528,2025-03-07,3.55,8,314,58,
699944,Villa in Bio Garden Central Prague,3590595,Pavel,,Praha 10,50.06802,14.48399,Entire home/apt,3043,5,29,2017-01-03,0.20,2,364,0,
701644,👑 HOTEL IN PRAGUE CENTER 👑,3279605,Elena And Kira,,Praha 2,50.07026,14.43089,Entire home/apt,,1,141,2022-02-27,0.97,16,365,0,
706726,"HARLEQUIN APARTMENT, PRAGUE CENTER",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,1802,1,161,2024-10-04,1.06,34,360,1,
